Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса проживання,Телефон,Email
Москаль,Данна,Василівна,female,1968-03-07,Секретар,місто Суми,"парк Карантинний узвіз, буд. 8 кв. 5, Гірник, 93106",+380 00 657 89 30,boleslav95@example.net
Гайда,Геннадій,Романович,male,1982-04-04,Електрик,місто Новодністровськ,"парк Краснослобідський, буд. 76, Моспине, 82996",701 22 03,viktoriia97@example.org
Терещук,Антон,Артемович,male,1967-03-30,Складальник,селище Краматорськ,"провулок Рожева, буд. 765, Вовчанськ, 04909",039 567-75-51,nkozak@example.org
Щорс,Юхим,Юрійович,male,2006-05-14,Астрофізик,село Білгород-Дністровський,"парк Студентський 2-й, буд. 4, Суми, 59652",+380 97 540-36-30,iakovenkoveniiamyn@example.net
Левченко,Пармен,Євгенович,male,1946-11-24,Бібліограф,селище Узин,"площа Кругова, буд. 3, Молочанськ, 98656",+380 (92) 513-44-45,levkoiarema@example.com
Луценко,Богуслава,Олександрівна,female,1960-06-12,Шериф,село Мостиська,"парк Десятого квітня, буд. 596, Хоростків, 51170",+380 79 864-29-11,borys15@example.net
Шутько,Михайлина,Максимівна,female,1988-04-19,Дантист,місто Стебник,"шосе Тополина, буд. 20, Лохвиця, 75047",284 96 93,iakivirvanets@example.org
Ващенко,Артем,Вікторович,male,1942-07-02,Краєзнавець,місто Миколаїв,"провулок Косий, буд. 003 кв. 7, Сокиряни, 53053",+380 65 865-54-23,ievhenkolesnychenko@example.com
Вівчаренко,Тетяна,Євгенівна,female,1968-09-21,Євнух,село Ізюм,"площа Проектний 5-й, буд. 067, Сватове, 59485",+380 68 202-05-32,iaremaazar@example.org
Ґереґа,Олесь,Миколайович,male,1966-04-21,Випробувач,селище Богодухів,"парк Наявний 5-й, буд. 15, Корець, 31020",009 396 06 00,davyd22@example.net
Чарниш,Ігнат,Євгенович,male,1960-06-30,Фольклорист,хутір Дніпрорудне,"площа Водопровідний 2-й, буд. 618 кв. 0, Арциз, 32961",+380 13 681 41 56,iaroslavbakumenko@example.com
Жайворон,Наталія,Іванівна,female,1966-03-16,Ювелір,місто Шумськ,"проспект Восьмого березня, буд. 6 кв. 103, Гола Пристань, 30944",010 764-83-24,havryliukborys@example.org
Мазепа,Гліб,Павлович,male,1956-02-26,Гицель,селище Дергачі,"вулиця Острозька, буд. 697, Луганськ, 88995",081 884-87-63,priskaandriienko@example.com
Гунько,Федір,Андрійович,male,1966-08-31,Графік,хутір Ананьїв,"провулок Георгія Липського, буд. 182, Добромиль, 62040",022 102-94-87,bohodar89@example.net
Симоненко,Варвара,Романівна,female,1957-05-02,Археолог,хутір Кобеляки,"провулок Жаботинського, буд. 269, Гайсин, 33442",+380 (93) 341-73-48,leonid68@example.net
Засенко,Лукʼян,Іванович,male,1941-03-15,Філолог,село Суми,"шосе Локомотивний 2-й, буд. 7 кв. 687, Олександрівськ, 07320",+380 (52) 183-10-30,illia93@example.org
Фастенко,Устим,Іванович,male,1984-08-31,Астронавт,село Гадяч,"провулок Спиридонівська, буд. 1, Жашків, 58272",+380 57 454-61-44,vzabila@example.net
Оніщук,Мирон,Олексійович,male,1975-09-19,Фармацевт,хутір Керч,"парк Олександра Болдирєва, буд. 159, Ялта, 55547",056 282 20 82,oksana83@example.org
Жаліло,Вікторія,Ігорівна,female,1980-07-01,Випробувач,село Теплодар,"провулок Дюківський сад, буд. 5, Залізне, 27850",825-61-35,avivcharenko@example.org
Базилевич,Галина,Павлівна,female,1946-05-09,Дипломат,місто Галич,"вулиця Рожева, буд. 271, Дубно, 53136",062 094-36-09,akaras@example.org
Фартушняк,Соломія,Сергіївна,female,1955-05-07,Патологоанатом,хутір Богуслав,"сквер Байкал тупик, буд. 831, Васильків, 87460",+380 (90) 655-82-32,zhabelko@example.com
Сомко,Соломія,Максимівна,female,1954-02-07,Лікар,селище Бершадь,"провулок Косовська, буд. 494 кв. 044, Охтирка, 74851",+380 56 315 43 52,tychynaliliia@example.com
Дейнеко,Стефан,Дмитрович,male,1970-05-18,Пілот,селище Суми,"узвіз Чорноморський 2-й, буд. 315, Решетилівка, 98930",491-13-49,ielysaveta02@example.org
Чередник,Стефан,Дмитрович,male,1965-01-28,Кінокритик,село Вилкове,"сквер Ярмарковий, буд. 22 кв. 7, Радехів, 12281",046 329-50-09,liubov23@example.com
Фесенко,Макар,Миколайович,male,1972-02-28,Композитор,селище Джанкой,"узвіз Щоголєва, буд. 228, Устилуг, 40117",+380 86 059 08 30,symondemianenko@example.net
Ґоляш,Опанас,Андрійович,male,1957-11-20,Паралегал,селище Севастополь,"сквер Олександра Білостінного, буд. 0, Мукачево, 86786",076 061 54 89,frantstovstolis@example.org
Валенко,Богданна,Євгенівна,female,1980-04-04,Режисер,хутір Сімферополь,"проспект Десята, буд. 2, Голубівка, 58164",017 202-91-36,boleslav26@example.net
Засенко,Дан,Артемович,male,1989-01-17,Детектив,село Кременець,"шосе Наявний 7-й, буд. 93, Суми, 87509",+380 52 401-71-87,xkarmaliuk@example.net
Затула,Борис,Євгенович,male,1995-03-11,Публіцист,місто Кролевець,"набережна Хімічний 1-й, буд. 32 кв. 0, Ізяслав, 60704",+380 (31) 408-55-08,petrykspas@example.org
Затовканюк,Аврелій,Денисович,male,1949-01-04,Доцент,село Інкерман,"шосе Нечипуренка, буд. 838, Свалява, 16755",173 62 80,havrylo65@example.com
Зайченко,Амвросій,Ігорович,male,2000-06-28,Ветеринар,село Бершадь,"проспект Вокзальний, буд. 41 кв. 211, Сміла, 86423",+380 98 285 91 85,makar61@example.net
Нестайко,Амалія,Миколаївна,female,1988-04-25,Астроном,хутір Устилуг,"шосе Жаботинського, буд. 471 кв. 70, Липовець, 94534",082 982-40-62,masokhavolodymyra@example.org
Бевз,Віра,Артемівна,female,1981-06-23,Етнограф,селище Шахтарське,"провулок Дальня, буд. 82, Вугледар, 24675",+380 41 442-60-42,shapovalbohuslava@example.org
Корсун,Федір,Іванович,male,2002-04-05,Локсмайстер,місто Дергачі,"площа Рятувальників, буд. 086, Берегове, 16748",+380 52 065-69-49,nzaiets@example.net
Канівець,Федір,Романович,male,1995-09-12,Режисер,селище Васильків,"шосе Ветеранів праці, буд. 32, Ніжин, 36188",481 61 20,vakhniiviktor@example.net
Голобородько,Дан,Андрійович,male,1996-08-25,Скульптор,село Татарбунари,"набережна Мариністів, буд. 0, Підгородне, 36306",+380 72 913-10-62,kartemenko@example.org
Данькевич,Левко,Ігорович,male,2004-02-23,Фермер,хутір Сіверськодонецьк,"провулок Моторний 3-й, буд. 600 кв. 919, Звенигородка, 11769",+380 37 615 40 64,iustyna05@example.com
Вакарчук,Вікторія,Петрівна,female,2000-10-23,Кіноактор,село Сіверськ,"провулок Степна, буд. 5 кв. 630, Сокиряни, 94030",361 55 94,darynalesyk@example.net
Палій,Ярема,Володимирович,male,1973-11-13,Програміст,місто Носівка,"провулок Історія Футболу, буд. 292, Львів, 96238",075 727 99 83,symon11@example.net
Данильчук,Прохір,Денисович,male,1986-12-08,Футболіст,селище Костопіль,"набережна Михайла Грушевського, буд. 1 кв. 4, Сокиряни, 06888",082 072-31-87,taranstefan@example.org
Скопенко,Федір,Васильович,male,1982-01-04,Художник,село Ясинувата,"сквер Чорничний, буд. 4 кв. 56, Новий Буг, 68285",+380 72 676-11-51,pkhrystenko@example.net
Асаула,Демид,Олексійович,male,1959-10-19,Математик,селище Свалява,"проспект Учительський, буд. 69 кв. 30, Моршин, 05742",054 604-10-62,daryna54@example.com
